song_name,artist,song_uri,embedding
Everything I Do - Dombrance Remix,"Anoraak, Moona, Dombrance",https://open.spotify.com/track/6eETIqHgFCVZqVSTAy0jC4,"[13.918901314696365, -0.7079351586220376, 4.5248724425963065, 1.1233936590794549, -2.6095235494899063, -4.078392028185216, -1.2164228371484194, 1.587205789824064, 0.06735996415032931, 5.64053802427333, -0.5696644859942703, -4.904736193077145, 1.2766043734839225, 3.4626854562920077, 4.268707892687269, 0.1800610696702403, -3.3052258765332616, 2.4393078785972975, 0.38647320007172564, 0.3797375387916725, 1.0777700064036384, 0.17908931052949398, -0.5987170236056292, 0.06354421566645035, 0.6713258726470536, 0.03552835585798306, -1.4877761072057154, -1.4037080558033075, 0.5076820359145552, -0.20936149341835542, 0.531875394484496, 1.4670864241847055, -0.4550235253059791]"
In Between,Junaco,https://open.spotify.com/track/11KftsB7VRHkwGnw0TTgqW,"[-11.224459769949586, -2.1345243716902993, 1.4872250954399189, -6.029914399615023, -3.489457482912304, -1.5533066502016193, -6.340390127869047, 4.755627275493953, -2.9669158051733646, 0.5988629182456214, -5.591933571534053, -0.39576672490278003, -4.139834752160719, -0.04769326673939528, 5.79797669356518, 2.2356991954049543, 2.4663012080499356, 0.9095109054516045, -0.5599954029042411, 0.24722518884744085, -0.43989958129337414, 3.298138864133071, -0.0431048420583104, -1.4519821494901206, 0.6185036414881173, -1.9030893952190533, 0.8604823180369144, 1.5739688004098813, -0.3770006745784832, -1.7149263318849468, -1.4572420116277707, -1.1059828149528097, -0.05282447560014551]"
Cache,Moi Je,https://open.spotify.com/track/3g1jLEdH40RztXP52izu1L,"[3.4449760828932523, 9.095312350246255, 4.999349591649738, 4.890853338637576, -1.9306854343910511, -0.5440395516903503, 1.330666196103069, 4.411642478269523, -5.5271232927278495, -2.079441504308589, 2.0252502918579594, 0.22349592095709067, 4.083891070713976, -7.208190245956956, 4.434321525669512, 0.04739198938613793, 0.3010609538245913, 1.9213067516176037, 4.5700154848788435, -0.8217601888050894, 0.09853260253483748, 3.2583224511710838, 4.991915791376418, -3.527237144529082, 1.0258044927506669, 2.6761543929285843, -3.9452779626272996, 0.006334830804021136, -0.3278803915435738, -0.3302208950666879, -0.11301222241716946, 0.05823611241924634, -0.4647795318727783]"
Sharks In The Water,Franc Moody,https://open.spotify.com/track/6X4GH7Rs3Yy286wwZVoBYQ,"[11.952817806617883, 4.7563342922505, 4.062426071228707, 3.0274622251360674, -2.4588143826571054, -0.8472681041916158, -1.1090268411337314, -7.915507705650974, -3.841291962193192, 0.10089835886074418, 0.4272253070400351, 1.9621486525097034, -3.327012522027509, 3.2040254486552446, -1.727572180817969, 0.41236308997520504, 0.7886496884608669, 2.336783530177862, -0.2209742522987014, -1.6879978981753132, 0.16850753374322403, -0.9282945039753829, 2.4643783152671173, 1.5793970816249943, 1.2758220139447887, 2.583003421942393, 0.9717098343598003, -2.1936710458926525, -0.5088904843489984, 0.5633934091902368, -1.4095430988249444, -0.2825250073689899, -0.5930485111882907]"
Exotica (feat. Mind Enterprises),"Purple Disco Machine, Mind Enterprises",https://open.spotify.com/track/4b6OuqikQDh0U3dDto7i54,"[13.975541918267146, -2.0082328579856545, -1.3938773905569746, -4.410939762947346, 7.07632251760766, -3.924904024481552, 2.908733567090373, 3.310766423390797, -1.5761398757921592, 0.7232684784443469, -3.357567015798319, 1.0304718801969122, 1.189617636001079, 0.012409573362301099, 1.9961978475102942, 2.5249969087437916, -1.6080993892134998, -3.846271955989651, -2.1553988921742837, 1.865961283218118, 3.2553458980899177, 2.280071595852146, 0.8507115110722909, -1.0106220322715962, -0.12762644665565778, -0.6420527964185677, -0.9614851493724429, 1.7463814611348654, 0.9498505803932116, 1.7573590324275608, 0.1398569755176793, 1.2493300085159924, 0.5078899107419205]"
Louder,Sunrom,https://open.spotify.com/track/1Hd6PTqt2cbwPh4y33m1hD,"[1.3554434946227905, 6.026822986592047, 8.048040489296275, 5.301384377111539, -6.151686700977772, 2.3227477438496855, -6.656429987361044, -3.4426707401258483, -1.8276904575624333, 2.895706022647387, -1.6087005000274057, -0.04807517271471995, -2.3153508028568632, -2.6051541422725557, 3.245199678947161, -0.7022666496121216, 2.5134659286896466, 2.598745708671746, 1.5344136206852421, 2.9938967470310187, 6.017563048020239, 4.74472768035222, -1.7425300205864558, 3.4178632612257944, -0.5530446178019647, -0.7505288222864572, 2.116863844489259, 0.5618834091392033, 0.38873365873501703, -2.9915385098783127, 1.0581686396181458, -3.7626970562460134, 0.2918846946538142]"
Belong To You,"Cut Copy, Kate Bollinger",https://open.spotify.com/track/0ldxSxecXt4pyOauTVkVZs,"[-1.2701064700212148, -10.624963611290525, 3.2780353510613587, -7.93445660885747, -6.856323064371215, 0.5855631980491259, -0.3125056284421086, -1.2147260050676303, 3.91894601480765, 2.4043679579195096, 1.190177891158461, -0.4568358290589816, 0.39502243042250795, -1.1908469700075148, -3.813313915231221, -3.7399208419920718, -1.3040719326192907, -2.8316556839883744, 0.2865085956427746, -1.451173885838416, 2.1832327582804787, -1.3392668616806405, -2.4595201369136914, 0.6039205061974019, -1.6075636957628818, 2.2641439395685747, 0.034807200131756144, -0.13085874764011723, -0.7209797343398044, 0.038243661070218454, 0.6125741931349014, 0.43733639382292927, 1.631062044850868]"
The Fade Out Line,"Phoebe Killdeer, The Short Straws",https://open.spotify.com/track/7I1v3hLSDCZK4EdGVokFcj,"[-12.934305178893018, 10.00122617990732, -3.0512320068343977, -0.40999062659070046, 4.755017338005066, 3.2492094545364933, 3.9632923984270554, 2.0879453791046108, -8.620287746961896, 7.601244905575682, -8.160045683103455, -0.7609725506913432, -0.5241045678649856, 7.031973795095271, -1.340591325523211, -0.6180856496996714, -2.5670454728282297, -3.1513507395594593, -1.9387451958131494, 1.7117405143407622, 1.6565046368290601, -0.7424276558564957, 3.3637217344551362, 1.122314088909846, -4.417930759247999, -0.17435085641266576, 0.7411246796992756, -0.7750480036398106, 0.04667047184350108, -3.77869144109482, -2.464878672360582, 0.2319409748767435, -1.1003316108383911]"
Mad Woman,Nora Mae,https://open.spotify.com/track/76SzCnWmnpsvfeLkh5tcsH,"[-10.170363924839654, -5.885159808410075, -8.155634903449931, -2.9659560399635594, 5.686418619237878, 0.27398079469384495, -5.475980368479839, -2.0651785461810825, -1.1781889345058774, -5.1675985467761985, 1.30852021911437, -3.24398279590125, 6.699059845793178, -1.1715852713738386, 0.5376136709501015, 2.355791177593522, -3.378036173896551, 2.1062718047420224, -1.998306311660903, -2.0669728458688525, -0.7583361463165254, -0.8824922518589035, -2.040388818068795, -0.6911894252049091, 1.6053955670515971, -0.18266071124241556, -0.4438267022140988, -0.16471822305808043, -0.06932178571274682, -2.4534390192280964, 1.5018280289544026, 0.20269651381873346, -2.521283542960557]"
In My Head,"Phantogram, Whethan",https://open.spotify.com/track/7J2Sl1ENGmwaJm9qlBBDyZ,"[17.33910834651811, -3.744737664523797, -13.826401255170211, -3.3481612540187538, -0.7794917874648122, 0.2426755171519911, 2.3818904697035954, -8.714861471644056, 5.747169366672629, 1.447877729631006, 7.516041462330399, 1.3208268919125814, 0.5216284278782871, 0.9019168117959115, 2.954341959434534, -1.3527539409038123, -9.09944887346639, 0.00423253338487164, -1.0690760692230916, 1.9749832893871817, -3.5431751485399965, 1.4119039101427702, -0.28968083413392093, -2.908139449491864, -0.7713767205019636, -0.5860977134877939, -0.8985330114855732, 2.0458202488610993, -3.5201118097093196, -1.121648352345892, -0.5182152648442473, -2.3341759931487656, 0.6669293659785025]"
